sample_id,label_encoded,label_name
9862,0,0
3316,7,1_5
9705,9,3
1586,4,0_4
639,9,3
7133,10,4
9327,5,1
9082,9,3
9626,5,1
10596,11,5
6493,11,5
5298,11,5
10397,3,0_3
3632,0,0
8193,8,2
20,11,5
12182,11,5
4366,10,4
16219,8,2
15537,2,0_1_5
13435,0,0
10247,9,3
3564,2,0_1_5
11922,11,5
12153,11,5
346,10,4
2578,8,2
11458,11,5
11083,5,1
9978,1,0_1
680,11,5
8065,11,5
3891,0,0
7183,6,1_4
4475,8,2
2777,0,0
3277,5,1
2960,8,2
9634,8,2
12368,5,1
11750,9,3
38,5,1
5509,8,2
7694,11,5
12407,8,2
11508,11,5
13112,10,4
13279,0,0
13871,5,1
5246,10,4
6969,5,1
13597,5,1
6271,8,2
4193,3,0_3
12270,11,5
15687,0,0
4973,0,0
5352,0,0
5013,8,2
7470,8,2
12785,5,1
16328,10,4
448,5,1
16108,5,1
8581,8,2
14971,9,3
7431,7,1_5
16351,8,2
13398,8,2
10327,8,2
13321,5,1
7445,0,0
10485,5,1
12790,7,1_5
13739,5,1
13834,9,3
8113,9,3
8625,0,0
12178,5,1
7435,9,3
6993,7,1_5
4208,5,1
6275,9,3
10093,10,4
13890,9,3
10904,11,5
8969,8,2
11326,11,5
1916,11,5
4101,8,2
3265,5,1
68,8,2
8589,7,1_5
5333,11,5
14077,11,5
2680,8,2
4509,8,2
7751,11,5
9225,5,1
8414,11,5
11197,3,0_3
4415,10,4
15020,7,1_5
584,0,0
13590,11,5
14616,11,5
2094,11,5
14818,8,2
7793,8,2
3830,5,1
9513,0,0
6867,11,5
5314,8,2
5116,11,5
15333,11,5
1148,9,3
6310,10,4
15138,8,2
10499,8,2
15351,11,5
11593,8,2
2239,8,2
9132,8,2
817,8,2
1783,10,4
9256,8,2
15898,5,1
8794,8,2
15050,7,1_5
5534,5,1
98,11,5
5107,0,0
8344,8,2
3284,5,1
13170,8,2
66,8,2
16169,8,2
14995,0,0
3070,11,5
8460,8,2
5984,11,5
15529,11,5
8600,8,2
11498,8,2
1173,8,2
1917,9,3
9940,5,1
2802,11,5
3710,0,0
15713,11,5
8127,5,1
12669,11,5
15701,11,5
378,8,2
10915,9,3
4106,8,2
14709,10,4
409,7,1_5
2982,9,3
4504,8,2
6465,11,5
12381,8,2
831,8,2
13958,10,4
8823,10,4
5928,8,2
5899,10,4
3536,5,1
8865,8,2
5450,8,2
270,8,2
14273,5,1
7469,11,5
11828,5,1
3611,11,5
11466,11,5
804,10,4
5287,8,2
4470,8,2
9498,5,1
6256,5,1
1877,8,2
3920,8,2
14486,11,5
9039,11,5
6245,7,1_5
8773,9,3
7835,8,2
10893,6,1_4
14806,11,5
16045,0,0
1024,8,2
2206,8,2
5550,8,2
14058,11,5
4584,5,1
5339,8,2
10585,5,1
11920,5,1
10491,9,3
14385,8,2
12636,5,1
682,5,1
3222,8,2
1453,11,5
2888,10,4
16283,8,2
7184,11,5
12195,10,4
11238,8,2
16439,5,1
9470,9,3
8896,8,2
10610,5,1
15885,8,2
9406,2,0_1_5
2083,8,2
953,8,2
14438,10,4
14673,5,1
4271,5,1
9521,5,1
2967,8,2
2089,8,2
16567,8,2
1592,10,4
14795,8,2
6871,8,2
2659,11,5
9713,11,5
12645,11,5
12197,10,4
7639,10,4
12863,0,0
4055,10,4
12607,0,0
9094,5,1
13678,5,1
1548,1,0_1
15876,8,2
22,7,1_5
12584,0,0
12331,8,2
3171,10,4
7504,7,1_5
9437,8,2
5645,8,2
6452,11,5
4899,8,2
14961,5,1
2436,9,3
7732,5,1
7035,11,5
4343,11,5
13053,5,1
15008,11,5
12601,7,1_5
15226,11,5
6725,11,5
9399,8,2
9085,5,1
7971,11,5
13793,8,2
11495,7,1_5
15684,11,5
15128,9,3
7984,8,2
11139,11,5
6573,5,1
916,11,5
12131,11,5
5960,10,4
7939,5,1
15364,8,2
7152,8,2
2108,11,5
9292,11,5
11749,11,5
12165,10,4
15325,0,0
15152,9,3
13732,5,1
13332,11,5
7407,11,5
14329,11,5
16261,8,2
14184,8,2
7357,11,5
5860,5,1
4145,0,0
8334,9,3
9099,11,5
10180,11,5
6728,3,0_3
6991,8,2
10966,6,1_4
12393,11,5
5239,0,0
1507,5,1
7199,8,2
987,7,1_5
13049,0,0
9195,11,5
3030,2,0_1_5
5936,6,1_4
6401,2,0_1_5
9711,7,1_5
2313,2,0_1_5
5306,8,2
2765,0,0
11812,11,5
1300,8,2
11212,10,4
788,11,5
3227,10,4
5891,11,5
7197,10,4
16242,8,2
11208,8,2
11277,5,1
1829,5,1
6114,5,1
13280,0,0
1128,11,5
1046,8,2
5675,11,5
4775,11,5
12880,11,5
5119,8,2
1014,11,5
8615,11,5
15599,8,2
5856,8,2
15513,8,2
5656,5,1
13614,9,3
6302,5,1
16218,0,0
3966,6,1_4
12214,5,1
11634,8,2
1758,8,2
8155,5,1
8849,10,4
563,11,5
874,5,1
5980,8,2
13288,11,5
13182,5,1
9544,0,0
13457,5,1
4426,5,1
16701,2,0_1_5
6870,5,1
13605,5,1
3050,7,1_5
4262,11,5
4232,10,4
16263,0,0
3927,8,2
683,11,5
9637,10,4
1528,0,0
10683,8,2
16591,11,5
11325,5,1
412,11,5
7289,8,2
15543,0,0
332,0,0
9263,8,2
15299,5,1
2160,11,5
15556,11,5
2347,8,2
2506,11,5
12759,8,2
15492,5,1
4073,11,5
14696,11,5
14012,9,3
1113,10,4
16333,5,1
3217,0,0
7296,5,1
8251,5,1
9269,8,2
15792,8,2
13239,8,2
10941,11,5
4946,10,4
13395,5,1
2599,5,1
6093,11,5
3501,8,2
5586,8,2
4120,11,5
8260,10,4
8402,8,2
9739,10,4
12375,11,5
14431,11,5
8438,10,4
10665,8,2
241,11,5
16038,11,5
1813,11,5
720,5,1
2157,8,2
10026,8,2
9780,8,2
2037,5,1
13677,7,1_5
4,2,0_1_5
3023,0,0
15768,11,5
3296,8,2
9130,11,5
11130,5,1
15484,11,5
13672,8,2
9059,8,2
922,5,1
1934,11,5
9114,11,5
11907,0,0
13506,5,1
15826,11,5
4007,5,1
15779,8,2
2207,11,5
4156,11,5
10581,10,4
13838,7,1_5
2042,2,0_1_5
5109,10,4
11722,0,0
2619,0,0
6334,9,3
5325,5,1
12076,11,5
16001,5,1
7972,5,1
1700,8,2
13991,11,5
13891,8,2
3758,10,4
6926,5,1
7126,11,5
8011,8,2
14802,8,2
15618,5,1
5918,11,5
6919,5,1
10100,8,2
2998,5,1
1648,5,1
16113,5,1
11455,8,2
5319,5,1
9912,11,5
9208,8,2
10626,11,5
5776,8,2
4999,0,0
16729,0,0
3291,5,1
10237,5,1
744,0,0
6259,5,1
12907,8,2
977,5,1
11135,8,2
14198,11,5
11000,5,1
4839,0,0
13253,5,1
13065,0,0
3273,5,1
13900,11,5
4900,11,5
1742,0,0
15131,2,0_1_5
7411,11,5
16051,5,1
4032,11,5
10802,10,4
4378,7,1_5
1524,8,2
2886,11,5
10302,11,5
6780,8,2
2565,11,5
6126,4,0_4
7870,11,5
1993,11,5
9502,8,2
3975,8,2
11684,9,3
16681,11,5
10321,7,1_5
12804,11,5
10883,5,1
11487,10,4
3582,11,5
10983,10,4
4215,8,2
2985,5,1
10299,8,2
9201,9,3
1903,10,4
1449,2,0_1_5
10417,10,4
12617,11,5
13734,4,0_4
5234,8,2
846,11,5
7653,8,2
3366,5,1
14931,11,5
6980,8,2
13967,5,1
9153,5,1
4234,8,2
296,11,5
7673,10,4
6011,9,3
3988,9,3
10371,8,2
14974,5,1
12160,11,5
10729,11,5
8645,8,2
3220,11,5
10772,11,5
10969,0,0
10382,5,1
10761,5,1
16197,8,2
16368,11,5
14502,11,5
8586,11,5
4498,8,2
4473,10,4
14208,8,2
8903,8,2
5694,5,1
12924,8,2
15838,1,0_1
15817,8,2
7605,10,4
3926,11,5
10418,8,2
12392,8,2
9294,8,2
7485,11,5
3126,11,5
8800,5,1
15617,8,2
6047,10,4
3799,11,5
9014,5,1
1372,5,1
157,10,4
2448,11,5
9699,11,5
14622,0,0
6477,5,1
5906,11,5
15669,5,1
5769,11,5
5081,8,2
14110,10,4
16460,7,1_5
1772,8,2
6455,5,1
14592,11,5
14943,11,5
4659,0,0
2497,11,5
14726,5,1
8835,8,2
10143,0,0
2514,5,1
1254,11,5
4519,11,5
16604,10,4
9758,5,1
5175,10,4
7463,8,2
3441,0,0
14582,5,1
3539,5,1
4425,5,1
7980,5,1
11292,9,3
13726,9,3
12365,8,2
4563,11,5
2688,11,5
1480,11,5
12882,5,1
14136,9,3
10046,11,5
16619,11,5
14280,11,5
11472,8,2
7701,5,1
15482,0,0
15141,5,1
15117,10,4
5479,0,0
11728,0,0
6340,5,1
8939,7,1_5
280,11,5
2934,10,4
2541,5,1
13600,5,1
5644,0,0
14739,0,0
8779,11,5
9805,8,2
14815,0,0
11442,5,1
12180,8,2
8696,8,2
8072,11,5
2543,8,2
1143,8,2
9953,8,2
14920,8,2
2902,11,5
16645,8,2
11475,7,1_5
9010,5,1
12333,0,0
4933,9,3
6349,0,0
14845,11,5
14684,0,0
13248,11,5
10647,8,2
1221,8,2
10698,11,5
10516,9,3
15757,8,2
6070,7,1_5
9192,9,3
389,11,5
1784,5,1
1863,9,3
5995,10,4
10644,9,3
3018,11,5
9906,11,5
14231,11,5
7527,9,3
12901,6,1_4
11284,10,4
13866,8,2
1675,11,5
2550,5,1
6312,10,4
16058,11,5
15039,11,5
9305,11,5
5874,0,0
15450,5,1
14741,8,2
1632,9,3
16667,9,3
7424,11,5
16364,8,2
14038,8,2
6809,8,2
9443,11,5
5632,8,2
8002,11,5
11913,5,1
16493,5,1
6544,5,1
8356,11,5
8305,8,2
15041,8,2
6849,9,3
6141,11,5
6496,5,1
19,9,3
6447,8,2
1251,10,4
3618,5,1
14307,0,0
16581,8,2
14498,11,5
13966,5,1
12965,11,5
3447,0,0
11392,11,5
4148,0,0
3922,11,5
16496,8,2
15658,5,1
1097,9,3
954,11,5
6684,10,4
8639,11,5
14397,5,1
8312,8,2
2666,9,3
9999,7,1_5
7084,2,0_1_5
13255,3,0_3
10578,10,4
13977,11,5
11845,8,2
8192,7,1_5
5247,11,5
7203,11,5
8117,11,5
7139,0,0
7885,5,1
11103,9,3
1731,11,5
7102,11,5
9492,0,0
16013,11,5
12615,11,5
10595,5,1
3924,11,5
9336,8,2
11400,8,2
459,11,5
11420,8,2
8862,8,2
239,5,1
5996,8,2
11702,0,0
12583,11,5
6298,5,1
7546,11,5
7989,11,5
16211,8,2
7797,5,1
12146,5,1
14742,0,0
15830,11,5
8202,8,2
7397,11,5
15522,9,3
15200,8,2
5020,11,5
691,10,4
4503,7,1_5
8968,9,3
5039,10,4
4469,10,4
13947,7,1_5
390,5,1
3346,8,2
15189,7,1_5
5264,8,2
717,9,3
4760,8,2
11669,0,0
14287,5,1
8291,11,5
3026,11,5
9107,8,2
7841,11,5
11109,11,5
3593,10,4
16503,4,0_4
7380,11,5
10535,8,2
4953,10,4
11582,10,4
2857,8,2
13360,10,4
2604,11,5
13666,11,5
14800,11,5
13795,10,4
14218,5,1
5043,8,2
11166,1,0_1
2408,8,2
4590,9,3
2219,5,1
9695,11,5
14444,11,5
13857,5,1
3702,11,5
9420,9,3
16736,11,5
5677,9,3
16757,11,5
2030,11,5
2333,8,2
3396,8,2
8871,0,0
13371,8,2
96,7,1_5
1346,8,2
12954,11,5
2405,11,5
9374,5,1
10895,11,5
324,5,1
7422,0,0
12606,0,0
15706,8,2
5601,10,4
6008,11,5
164,8,2
9576,5,1
3409,9,3
1778,8,2
4173,9,3
684,0,0
10853,8,2
15875,8,2
10572,5,1
4070,7,1_5
16170,11,5
4639,11,5
5966,5,1
13311,8,2
5598,10,4
2989,8,2
2343,11,5
2759,11,5
7581,8,2
8397,9,3
11577,8,2
9468,11,5
2008,8,2
60,8,2
2332,8,2
15415,11,5
6599,8,2
10919,8,2
5679,5,1
14640,8,2
12732,11,5
15633,11,5
12458,11,5
13459,11,5
14008,8,2
186,8,2
8682,11,5
12341,11,5
9966,10,4
7092,5,1
14969,11,5
11497,10,4
3664,11,5
16448,8,2
12439,11,5
6485,11,5
10186,11,5
10614,10,4
14870,9,3
524,11,5
9723,9,3
2794,11,5
131,5,1
2721,8,2
16429,11,5
1274,11,5
13775,8,2
6113,5,1
413,0,0
2828,8,2
3264,11,5
15006,8,2
6796,0,0
2193,11,5
8601,8,2
3238,9,3
12468,10,4
13973,5,1
13052,11,5
812,5,1
5171,8,2
3518,0,0
1213,11,5
3737,11,5
11324,8,2
13487,11,5
1880,8,2
7784,11,5
6191,9,3
11416,9,3
11415,8,2
12370,11,5
933,9,3
541,11,5
1555,8,2
4308,8,2
10232,5,1
10912,10,4
2779,11,5
3159,8,2
5480,5,1
13086,8,2
3831,5,1
11177,5,1
12325,11,5
12850,5,1
9782,11,5
6638,9,3
11916,9,3
2871,11,5
14165,0,0
13259,5,1
16099,0,0
8194,0,0
10871,5,1
9104,5,1
5366,5,1
1318,11,5
8938,3,0_3
7231,8,2
4302,5,1
12376,0,0
3941,11,5
9456,11,5
9514,5,1
4657,10,4
13099,5,1
12814,8,2
2256,9,3
6053,5,1
14791,5,1
9347,9,3
8466,8,2
10393,11,5
11600,0,0
9839,0,0
15219,10,4
15566,11,5
16428,8,2
13397,9,3
11507,11,5
16461,8,2
572,8,2
3843,5,1
3213,10,4
15675,11,5
12191,5,1
5472,5,1
4738,8,2
657,8,2
705,11,5
4620,11,5
7045,11,5
5957,5,1
10003,8,2
12451,5,1
13064,8,2
8583,0,0
1423,8,2
13702,11,5
15137,11,5
8759,1,0_1
6718,11,5
9700,9,3
16332,11,5
9189,5,1
8083,11,5
16391,5,1
13396,8,2
6215,11,5
11351,10,4
1654,10,4
9217,9,3
13852,8,2
1883,2,0_1_5
14753,8,2
2073,0,0
10512,11,5
9056,9,3
9788,5,1
12505,8,2
9759,11,5
5322,0,0
1277,8,2
13535,8,2
10455,8,2
5118,8,2
9202,7,1_5
4013,5,1
1610,11,5
2621,11,5
16747,11,5
3709,10,4
2736,11,5
9345,0,0
10902,11,5
1600,11,5
1320,11,5
9836,3,0_3
15795,10,4
12687,5,1
12413,0,0
10350,5,1
3189,11,5
14415,0,0
4359,9,3
6024,5,1
8081,8,2
15188,8,2
5189,5,1
13045,5,1
11203,11,5
15494,4,0_4
16569,8,2
7675,7,1_5
12136,11,5
5387,8,2
6157,5,1
14932,11,5
14289,11,5
2393,8,2
12238,8,2
2111,9,3
5261,8,2
8166,8,2
415,0,0
11616,8,2
3994,8,2
16313,8,2
13976,7,1_5
12678,7,1_5
1422,11,5
6199,5,1
1707,11,5
5204,9,3
63,11,5
13854,11,5
4819,5,1
14472,0,0
14955,8,2
6846,0,0
1116,11,5
7892,9,3
2403,8,2
6177,11,5
15192,10,4
2109,11,5
11165,0,0
3898,11,5
2868,8,2
5766,9,3
6869,11,5
11302,8,2
11834,5,1
1844,5,1
466,5,1
7299,10,4
12795,8,2
8784,8,2
12985,8,2
12750,11,5
12512,0,0
14631,11,5
12369,9,3
4764,5,1
16420,5,1
12098,11,5
1256,8,2
14255,11,5
2877,8,2
2018,8,2
12569,5,1
13456,8,2
10191,10,4
2728,0,0
8059,5,1
3555,11,5
3086,8,2
16685,8,2
4427,8,2
5162,8,2
5200,11,5
12695,5,1
9012,8,2
9590,10,4
2563,11,5
10290,11,5
2322,8,2
1035,11,5
9076,8,2
7378,10,4
16723,11,5
14562,0,0
8795,10,4
3576,5,1
633,10,4
8927,5,1
9796,5,1
10515,0,0
12610,8,2
10016,5,1
3531,0,0
14453,11,5
999,11,5
7288,11,5
8493,5,1
13029,11,5
13324,10,4
544,5,1
113,11,5
2547,8,2
12085,5,1
7824,5,1
16236,11,5
9144,5,1
14265,11,5
2784,8,2
677,0,0
3473,8,2
16052,10,4
14364,8,2
8443,11,5
7640,10,4
7982,0,0
15585,11,5
11046,5,1
2390,8,2
12582,11,5
6208,11,5
15551,8,2
11835,9,3
8831,5,1
1512,10,4
12763,8,2
1086,10,4
8090,9,3
12111,8,2
5235,9,3
1544,11,5
1427,8,2
16111,10,4
397,5,1
7649,8,2
13304,10,4
14322,8,2
1822,9,3
11261,8,2
4488,8,2
3253,5,1
6313,11,5
9917,8,2
7706,8,2
11023,5,1
8609,11,5
9311,11,5
14629,11,5
16274,8,2
13293,9,3
13697,0,0
12086,8,2
10848,10,4
8313,5,1
5069,11,5
7699,0,0
15165,8,2
1222,5,1
11077,5,1
2572,5,1
3972,8,2
4721,10,4
4676,8,2
14303,5,1
11658,9,3
2513,11,5
5715,11,5
16375,1,0_1
15905,7,1_5
6014,0,0
13015,11,5
1965,4,0_4
2867,8,2
15242,9,3
195,10,4
7265,10,4
16191,10,4
16458,11,5
16097,7,1_5
16481,9,3
13038,8,2
16295,8,2
7363,2,0_1_5
12940,5,1
13657,0,0
13629,11,5
15891,8,2
201,7,1_5
16132,11,5
2903,8,2
15536,11,5
654,11,5
6851,7,1_5
10330,2,0_1_5
2533,10,4
9783,11,5
5046,11,5
9586,9,3
1015,10,4
543,5,1
14645,5,1
6776,11,5
7969,9,3
16425,11,5
3111,8,2
15195,8,2
1570,8,2
2634,10,4
1713,11,5
9610,8,2
5556,8,2
15712,5,1
15076,0,0
7050,11,5
6134,8,2
7993,8,2
15762,8,2
7426,10,4
10377,7,1_5
10700,5,1
4800,8,2
8053,10,4
9065,8,2
2556,9,3
13777,5,1
6214,11,5
16229,8,2
3938,8,2
1385,11,5
9200,0,0
4911,11,5
7557,0,0
3152,0,0
4471,10,4
15105,8,2
4116,5,1
6492,5,1
961,11,5
13473,0,0
3373,5,1
99,11,5
11661,8,2
3292,5,1
8242,0,0
7216,11,5
8742,0,0
15572,11,5
13911,5,1
9542,8,2
3057,5,1
6743,10,4
6895,8,2
6082,8,2
14597,8,2
8318,8,2
8734,11,5
14164,8,2
12155,8,2
12740,0,0
14314,11,5
15708,11,5
13510,10,4
10431,10,4
3913,7,1_5
7080,8,2
12495,11,5
3413,5,1
11977,8,2
11581,5,1
4072,8,2
10608,8,2
10229,11,5
9937,0,0
3745,5,1
1636,11,5
16049,11,5
13257,8,2
2896,11,5
655,0,0
3542,0,0
14917,9,3
8809,11,5
9463,8,2
13446,11,5
14992,7,1_5
16721,5,1
2444,10,4
16065,10,4
12169,0,0
104,11,5
12682,5,1
2225,10,4
7896,8,2
13787,11,5
16269,2,0_1_5
11968,8,2
6735,0,0
3575,8,2
10043,5,1
337,8,2
7047,8,2
14313,11,5
9808,11,5
9474,5,1
15879,11,5
12920,7,1_5
6534,8,2
13655,0,0
6791,0,0
15255,8,2
9967,10,4
4430,11,5
10594,8,2
10546,10,4
2367,11,5
14247,11,5
8593,11,5
3814,0,0
13700,7,1_5
5811,8,2
7533,11,5
13203,10,4
7370,5,1
14258,11,5
5002,8,2
10830,8,2
8587,8,2
10276,11,5
3411,4,0_4
3448,10,4
484,5,1
8150,8,2
8852,11,5
10532,8,2
11141,11,5
1920,7,1_5
15981,11,5
11454,7,1_5
904,5,1
13899,8,2
14895,8,2
3965,11,5
13378,10,4
3244,11,5
5695,8,2
7320,11,5
6988,8,2
12806,8,2
14514,11,5
12592,9,3
15265,10,4
220,0,0
2257,11,5
13623,8,2
14512,6,1_4
15139,10,4
6913,8,2
5323,11,5
115,1,0_1
14789,11,5
5123,10,4
4452,5,1
11443,2,0_1_5
5070,8,2
4816,10,4
7159,5,1
15145,11,5
258,11,5
1679,5,1
1837,5,1
10057,5,1
14199,8,2
3599,8,2
2212,0,0
5691,8,2
35,10,4
16083,5,1
10536,8,2
7132,10,4
16253,9,3
15665,9,3
6490,8,2
16392,11,5
6169,5,1
2914,8,2
8275,11,5
9789,5,1
11794,8,2
14767,11,5
9364,8,2
738,0,0
4375,5,1
5618,8,2
15425,5,1
10598,8,2
1156,8,2
7234,8,2
15998,10,4
5178,7,1_5
2156,11,5
14144,9,3
3406,11,5
7724,2,0_1_5
11422,0,0
1874,8,2
12808,8,2
6740,9,3
16205,0,0
1893,8,2
14980,8,2
14285,0,0
2892,11,5
10489,11,5
2879,8,2
9125,5,1
11663,10,4
9580,8,2
14266,5,1
15895,11,5
15767,9,3
6121,11,5
15407,0,0
2131,5,1
14108,9,3
12056,5,1
3140,8,2
1503,8,2
538,5,1
14234,0,0
12969,8,2
11421,5,1
13149,11,5
8096,9,3
14386,11,5
16163,7,1_5
1012,10,4
13184,11,5
11296,5,1
546,9,3
16063,8,2
10184,8,2
8893,5,1
15350,11,5
12401,11,5
14291,0,0
4930,8,2
2880,11,5
13096,10,4
8603,9,3
10394,7,1_5
2170,5,1
13609,9,3
89,2,0_1_5
5574,8,2
6546,5,1
16649,8,2
13649,8,2
2406,5,1
1299,11,5
16763,8,2
1100,10,4
11071,7,1_5
3958,11,5
1753,11,5
13021,10,4
4549,11,5
2615,11,5
9041,5,1
11777,8,2
4074,8,2
848,11,5
4493,10,4
15752,5,1
14887,10,4
5356,0,0
13323,8,2
8121,11,5
12110,8,2
4324,0,0
12200,10,4
5491,5,1
5897,5,1
10257,5,1
10697,11,5
7041,10,4
9824,8,2
6236,11,5
13676,3,0_3
7488,0,0
1206,0,0
14362,5,1
14903,10,4
7475,5,1
1502,5,1
8446,11,5
2148,11,5
10745,8,2
10567,10,4
205,8,2
3483,7,1_5
4320,6,1_4
5786,0,0
9431,11,5
13496,8,2
6258,9,3
11687,9,3
6942,4,0_4
6830,11,5
15500,11,5
13561,5,1
3817,11,5
10032,11,5
9432,11,5
2849,8,2
2825,11,5
8138,8,2
15062,11,5
13489,7,1_5
860,11,5
8847,11,5
4984,11,5
6552,9,3
2167,11,5
1499,10,4
7956,10,4
4217,11,5
3712,8,2
9233,5,1
4829,0,0
11483,8,2
10113,0,0
15580,8,2
7758,8,2
5530,10,4
12868,8,2
10269,11,5
2474,11,5
11972,9,3
4118,9,3
8080,10,4
5242,10,4
3961,5,1
15544,5,1
2186,11,5
16188,11,5
1582,8,2
10486,10,4
3612,11,5
11275,5,1
16044,8,2
13746,9,3
7925,8,2
15511,5,1
2416,11,5
762,10,4
8614,7,1_5
4505,8,2
8672,8,2
2870,11,5
9925,11,5
3073,8,2
16079,10,4
10987,11,5
11591,1,0_1
787,7,1_5
16697,8,2
8395,8,2
9396,11,5
2371,10,4
8729,5,1
14337,11,5
5564,9,3
12519,11,5
13577,11,5
4849,8,2
11769,9,3
5455,8,2
13414,11,5
3982,10,4
11444,9,3
15681,8,2
4580,5,1
12642,8,2
16246,8,2
7456,0,0
5105,11,5
810,0,0
10380,8,2
4898,5,1
626,9,3
1960,5,1
13482,8,2
4606,11,5
6209,5,1
3462,7,1_5
4872,2,0_1_5
8640,8,2
9475,8,2
13306,9,3
6814,11,5
15037,11,5
4388,11,5
10783,5,1
9166,11,5
10439,9,3
1987,11,5
5832,8,2
14409,8,2
8652,8,2
11945,11,5
16641,5,1
5911,11,5
14680,11,5
15831,10,4
16548,5,1
11604,11,5
13548,8,2
8280,5,1
14710,11,5
5781,0,0
858,11,5
5064,10,4
4522,0,0
11628,8,2
13571,10,4
509,8,2
1324,11,5
9894,11,5
8546,8,2
10461,11,5
4266,9,3
12426,11,5
2508,8,2
14346,8,2
1851,5,1
1516,10,4
9278,5,1
2105,11,5
15277,8,2
8216,10,4
9670,11,5
1483,2,0_1_5
14962,8,2
10060,3,0_3
5463,6,1_4
8391,11,5
15276,11,5
1092,8,2
14632,7,1_5
232,11,5
7104,5,1
842,8,2
5138,5,1
9072,5,1
2107,5,1
16687,10,4
3557,11,5
2493,8,2
316,0,0
11741,8,2
12194,8,2
13848,8,2
223,8,2
11758,10,4
9171,7,1_5
3528,0,0
7309,0,0
5038,5,1
8919,6,1_4
9552,10,4
6406,11,5
12844,8,2
3055,5,1
8108,8,2
5545,8,2
7449,11,5
4490,5,1
16465,8,2
5859,8,2
13979,9,3
12977,7,1_5
15574,9,3
11889,8,2
2418,5,1
12811,0,0
5294,11,5
204,11,5
6399,8,2
609,10,4
2071,0,0
350,0,0
4635,10,4
8298,8,2
