sample_id,multihot_labels,readable_name
15192,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
5465,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2478,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
4342,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8961,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
14307,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
1851,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
3418,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11090,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
5118,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
11575,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
11557,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
14584,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
3704,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
2452,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
1237,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11858,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
16403,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
14255,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4028,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
11311,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
7753,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
3307,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
13209,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",healthy_and_complex
10330,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",healthy_and_scab_and_powdery_mildew
15806,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2954,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
9849,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
7093,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
10577,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
6292,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2519,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
10908,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
14337,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15425,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
14466,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
83,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
11656,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
16199,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
7333,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
408,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
7298,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
3827,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
8511,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
11724,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2058,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
16250,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
14327,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
5120,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
1002,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
13784,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
5526,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2764,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
5612,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8086,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
6351,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11573,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
6480,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
13684,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
6462,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
7471,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2215,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2885,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
5038,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
1314,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
535,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
3045,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
10991,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
1482,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
6270,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8178,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8771,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
15177,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2444,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
1952,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2536,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
9254,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8604,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
4295,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
1483,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",healthy_and_scab_and_powdery_mildew
8237,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
9869,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
8709,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11569,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
11763,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
2548,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8394,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
5116,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4533,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
3469,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
10560,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
10548,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
16524,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
14215,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
9543,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
13474,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
1858,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15406,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2483,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
14240,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
247,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
10434,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
14333,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
3355,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
13642,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
9249,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
13028,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",healthy_and_scab_and_powdery_mildew
7136,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2559,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8606,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
8108,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
15611,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
15918,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
9033,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
13687,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
2167,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
7428,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8192,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
1057,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
15481,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8741,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
7168,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
10008,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
872,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
16532,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
1608,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
16021,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2562,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
9919,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
135,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",healthy_and_scab_and_powdery_mildew
13106,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
12210,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
4296,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
4832,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
3492,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4113,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",healthy_and_rust
1043,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
15037,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
7726,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
14832,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
1085,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
6651,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
7864,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
1924,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2029,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8550,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
820,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
6110,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2112,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
1351,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
14698,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
14001,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
10486,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
15706,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
8373,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
866,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
11571,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
3344,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
3978,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
12019,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
274,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
3533,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2449,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",scab_and_rust
13294,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
3909,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
15038,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
12455,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
1147,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11100,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
10046,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15768,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
558,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
4896,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
16161,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
13768,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
7425,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
14218,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
553,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2209,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
16558,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
6802,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
1904,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
12223,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
833,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
7897,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
9861,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
11080,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
14600,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
14058,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4101,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
898,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
10841,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
1175,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
11455,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
3721,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
12055,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2921,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
14979,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
6885,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15947,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4043,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
6425,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
14715,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
10802,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
1327,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
6679,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
9526,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
14301,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
14564,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11019,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
2459,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
1197,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2697,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
7640,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
429,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2966,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
5351,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",scab_and_powdery_mildew
4901,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",scab_and_rust
8402,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
13244,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
5403,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
9498,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
14927,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
11017,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4982,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
8742,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
14803,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
5778,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
11545,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
5861,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
14420,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
12516,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
1964,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
8344,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2525,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",healthy
4764,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
5007,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
16152,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
12158,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
11079,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
6526,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
8496,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
299,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
2109,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
10009,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4333,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
10883,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
9757,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
10119,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
9598,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2662,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
9830,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
8724,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
2481,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
6149,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
11351,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",rust
11189,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
1656,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
2628,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
15426,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",complex
13376,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
4140,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",scab
14329,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11524,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
11391,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",frog_eye_leaf_spot
12624,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",powdery_mildew
